SKU SITO,NOTE,STATO,SKU AMAZON,COD ARTICOLO,NOME GESTIONALE,QTY GIACENZA,QTY VENDUTA,TIPO MATCH,SCORE,TITOLO AMAZON,PREZZO AMAZON,ASIN,URL AMAZON,DESCR. AMAZON
FAN1076205,,✅ SU WOOCOMMERCE,FAN1076205,FAN1076205,WONDER NO YELLOW SHAMPOO 350 ML,13,8,DIRETTO (SKU=COD),100,"Fanola Wonder No Yellow, Shampo tonalizzante anti-giallo per Capelli Biondi, Decolorati e Bianchi, 350 ml",137,0704F5M0M9E,https://www.amazon.it/dp/B0BJ6XF7F2,
FAN1076206,,✅ SU WOOCOMMERCE,FAN1076206,FAN1076206,WONDER NO YELLOW SHAMPOO 1000 ML,13,4,DIRETTO (SKU=COD),100,"Fanola Wonder No Yellow Extra Care Shampoo, Shampoo Tonalizzante Antigiallo per Capelli Biondi, Decolorati e Bianchi, Formula Vegana con Olio di Marula e Dragon Fruit, 1000 ml",196,0704F5EA7FX,https://www.amazon.it/dp/B0BP822QCB,
FAN1076208,,✅ SU WOOCOMMERCE,FAN1076208,FAN1076208,WONDER NO YELLOW MASCHERA 350 ML,6,6,DIRETTO (SKU=COD),100,"Fanola Wonder Maschera No Yellow Extra Care, Maschera Antigiallo per Capelli Biondi, Decolorati e Bianchi, Formula Vegana con Olio di Marula e Dragon Fruit, 350 ml",15,0704F5QGY60,https://www.amazon.it/dp/B0BJ6XKHY4,
FAN1076209,,✅ SU WOOCOMMERCE,FAN1076209,FAN1076209,WONDER NO YELLOW MASCHERA 1000 ML,4,4,DIRETTO (SKU=COD),100,Fanola Wonder No Yellow Mask 1000ml,223,0704F5PMZT5,https://www.amazon.it/dp/B0BP82NDGX,
FAN1076244,,✅ SU WOOCOMMERCE,FAN1076244,FAN1076244,WONDER COLOR LOCKER SHAMPOO DOPOCOLORE 350 ML,8,5,DIRETTO (SKU=COD),100,FANOLA Shampoo dopocolore Wonder Color Locker 350ml FANOLA,121,0514HKC53U3,https://www.amazon.it/dp/B0BJ6X5N7T,
FAN1076245,,✅ SU WOOCOMMERCE,FAN1076245,FAN1076245,WONDER COLOR LOCKER SHAMPOO DOPOCOLORE 1000 ML,7,5,DIRETTO (SKU=COD),100,"Fanola Wonder Color Locker, Shampoo Dopocolore, 1000 ml",158,0514HJCAQTT,https://www.amazon.it/dp/B0BP82FG9F,
FAN1076246,,✅ SU WOOCOMMERCE,FAN1076246,FAN1076246,WONDER COLOR LOCKER CREMA SIGILLANTE 200 ML,1,1,DIRETTO (SKU=COD),100,FANOLA Crema sigillante Wonder Color Locker 200ml FANOLA,127,0514HJ6THH9,https://www.amazon.it/dp/B0BJ6Y6595,
FAN1076247,,✅ SU WOOCOMMERCE,FAN1076247,FAN1076247,WONDER COLOR LOCKER CREMA SIGILLANTE 480 ML,2,6,DIRETTO (SKU=COD),100,FANOLA Crema sigillante Wonder Color Locker 480ml FANOLA,177,0514HJLZ63K,https://www.amazon.it/dp/B0BP83TR4X,
FAN1076248,,✅ SU WOOCOMMERCE,FAN1076248,FAN1076248,WONDER COLOR LOCKER LATTE SPRAY 195 ML,4,4,DIRETTO (SKU=COD),100,Fanola Wonder Locker Latte Spray 195ml,162,0514HJSX4WX,https://www.amazon.it/dp/B0BP849RYC,
FAN1076258,,✅ SU WOOCOMMERCE,W5-R7Q6-4901,FAN1076257,VITAMINS ENERGY LOZIONE ENERGIZZANTE 150 ML,0,24,🟢 AFFIDABILE (79.5%),795,"Fanola Vitamins, Lozione Energizzante, 12X10 ml",205,0129HOHCZ2G,https://www.amazon.it/dp/B0C4W3B8R4,
