ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86331,,FANOLA Maschera Spray Ristrutturante Nutri One 10 Azioni 200ml,1,,visible,,,,,taxable,,1,13,,,0,,,,,,,,1.40,Fanola,,,,,,,,,,,,,,0327FSO0WRK,https://www.amazon.it/dp/B08L4GTGND,,,,,,,,,,
,simple,FAN86338,,Polvere decolorante compatta blu dust free 500gr OroTherapy,1,,visible,,,,,taxable,,1,7,,,0,,,,,,,,18.40,Fanola,,,,,,,,,,,,,,0109HTXO9YR,https://www.amazon.it/dp/B0CW3GGLDQ,,,,,,,,,,
,simple,FAN86353,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.31,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6HBCVF,https://www.amazon.it/dp/B01EJYP0YS,,,,,,,,,,
,simple,FAN86413,,Shampoo Fanola KERATERM Cheratina 1000mL 1L - Disciplina anti-contenzione,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,16.20,Fanola,,,,,,,,,,,,,,0327FSIWD5H,https://www.amazon.it/dp/B01DWHQS12,,,,,,,,,,
,simple,FAN86424,,TINTA ORO COLOR KERATING 100ML 1.0,1,,visible,,,,,taxable,,1,12,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6GKRCP,https://www.amazon.it/dp/B00GIMCWX2,,,,,,,,,,
,simple,FAN86425,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 3.0,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0331F3P96GK,https://www.amazon.it/dp/B00GIMCYM6,,,,,,,,,,
,simple,FAN86426,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 4.0,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6HRBJA,https://www.amazon.it/dp/B00GIMD66O,,,,,,,,,,
,simple,FAN86430,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.0,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0331F3LJVEY,https://www.amazon.it/dp/B00GIMD9P2,,,,,,,,,,
,simple,FAN86431,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.0,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0514HKG0FZW,https://www.amazon.it/dp/B00GIMCXO0,,,,,,,,,,
,simple,FAN86434,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.2,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6GKRAB,https://www.amazon.it/dp/B00GIMD1X2,,,,,,,,,,
